model,type,composition,similarity,compsim,layer,pearsoncor,spearman
roberta-base,Transformer,Euc,F_inf,EucF_inf,3,0.261834298921486,0.2599106431007385
roberta-base,Transformer,Euc,F_inf,EucF_inf,4,0.26971756331411395,0.27113503217697144
roberta-base,Transformer,Euc,F_inf,EucF_inf,5,0.27425707693077245,0.2787017822265625
roberta-base,Transformer,Euc,F_inf,EucF_inf,6,0.27527233312090044,0.2832420766353607
roberta-base,Transformer,Euc,F_inf,EucF_inf,7,0.32384003499296354,0.3273662030696869
roberta-base,Transformer,Euc,F_inf,EucF_inf,8,0.3126435548332686,0.3173234164714813
roberta-base,Transformer,Euc,F_inf,EucF_inf,9,0.30553798207993765,0.3110564351081848
roberta-base,Transformer,Euc,F_inf,EucF_inf,10,0.2857803033213195,0.29802441596984863
roberta-base,Transformer,Euc,F_inf,EucF_inf,11,0.29190567584907645,0.3025895655155182
roberta-base,Transformer,Euc,F_inf,EucF_inf,12,0.28980356256840045,0.30378010869026184
roberta-base,Transformer,Icm,Cls,IcmCls,0,0.11940221924703653,0.13504576683044434
roberta-base,Transformer,Icm,Cls,IcmCls,1,0.06381815030165598,0.059924978762865067
roberta-base,Transformer,Icm,Cls,IcmCls,2,0.05284327361431711,0.052713822573423386
roberta-base,Transformer,Icm,Cls,IcmCls,3,0.10103701625682932,0.09509263932704926
roberta-base,Transformer,Icm,Cls,IcmCls,4,0.1347826514327865,0.14130446314811707
roberta-base,Transformer,Icm,Cls,IcmCls,5,0.14190818985633294,0.16239692270755768
roberta-base,Transformer,Icm,Cls,IcmCls,6,0.15896523163483248,0.18222582340240479
roberta-base,Transformer,Icm,Cls,IcmCls,7,0.1333872223489695,0.14850002527236938
roberta-base,Transformer,Icm,Cls,IcmCls,8,0.15580562791664385,0.18045949935913086
roberta-base,Transformer,Icm,Cls,IcmCls,9,0.15741431234171827,0.17477144300937653
roberta-base,Transformer,Icm,Cls,IcmCls,10,0.16733175479641582,0.1842009723186493
roberta-base,Transformer,Icm,Cls,IcmCls,11,0.18715045498362196,0.21176493167877197
roberta-base,Transformer,Icm,Cls,IcmCls,12,0.057346332550580546,0.056285686790943146
roberta-base,Transformer,Icm,Avg,IcmAvg,0,0.15483960891093776,0.14206397533416748
roberta-base,Transformer,Icm,Avg,IcmAvg,1,-0.0246778511765826,-0.036084651947021484
roberta-base,Transformer,Icm,Avg,IcmAvg,2,-0.04791475275450162,-0.055599283427000046
roberta-base,Transformer,Icm,Avg,IcmAvg,3,0.00940948392104822,0.0043162014335393906
roberta-base,Transformer,Icm,Avg,IcmAvg,4,0.06765512766169979,0.06219825521111488
roberta-base,Transformer,Icm,Avg,IcmAvg,5,0.06681505523706904,0.072516530752182
roberta-base,Transformer,Icm,Avg,IcmAvg,6,0.073692298092026,0.08028838038444519
roberta-base,Transformer,Icm,Avg,IcmAvg,7,0.07400570275811495,0.08599302917718887
