model,type,composition,similarity,compsim,layer,pearsoncor,spearman
w601sxs-b1ade-embed,Transformer,Icm,Cls,IcmCls,12,0.16792125727687174,0.15547356009483337
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,0,0.34586453937796435,0.33343324065208435
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,1,0.32940474740331055,0.31998735666275024
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,2,0.38634359807303575,0.37807607650756836
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,3,0.3083250266221621,0.29735255241394043
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,4,0.4072588783161685,0.40333113074302673
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,5,0.44022165784992395,0.44079115986824036
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,6,0.42803380761676696,0.43343091011047363
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,7,0.3702988757128092,0.3662721812725067
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,8,0.3399147817369031,0.3312264382839203
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,9,0.24825557921893254,0.23532187938690186
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,10,0.2797358923121958,0.26460617780685425
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,11,0.25271362197178926,0.22782257199287415
w601sxs-b1ade-embed,Transformer,Icm,Avg,IcmAvg,12,0.2742805982007181,0.2516796290874481
w601sxs-b1ade-embed,Transformer,Icm,Sum,IcmSum,0,0.177761299798046,0.15251412987709045
w601sxs-b1ade-embed,Transformer,Icm,Sum,IcmSum,1,0.14631922873794853,0.09946935623884201
w601sxs-b1ade-embed,Transformer,Icm,Sum,IcmSum,2,0.14281671090965262,0.09043938666582108
w601sxs-b1ade-embed,Transformer,Icm,Sum,IcmSum,3,0.13161381414101947,0.07592671364545822
w601sxs-b1ade-embed,Transformer,Icm,Sum,IcmSum,4,0.14273588854197572,0.08765938133001328
w601sxs-b1ade-embed,Transformer,Icm,Sum,IcmSum,5,0.16208425771396007,0.10854943841695786
w601sxs-b1ade-embed,Transformer,Icm,Sum,IcmSum,6,0.19249364095333923,0.1527615636587143
w601sxs-b1ade-embed,Transformer,Icm,Sum,IcmSum,7,0.14732502837251896,0.09306177496910095
w601sxs-b1ade-embed,Transformer,Icm,Sum,IcmSum,8,0.14308920883866647,0.08825843781232834
