model,type,composition,similarity,compsim,layer,pearsoncor,spearman
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Avg,EucAvg,12,0.8749727732474388,0.8770687580108643
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,0,0.4244757108079645,0.4384228587150574
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,1,0.3907185276885644,0.3993774950504303
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,2,0.3732988665294222,0.3798923194408417
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,3,0.3683982542911735,0.37298810482025146
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,4,0.3705357780614948,0.37542521953582764
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,5,0.3589881387645428,0.3658362925052643
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,6,0.3416545556798559,0.3504195213317871
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,7,0.332750197587452,0.34241464734077454
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,8,0.34011283630913275,0.3523641526699066
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,9,0.35080833533251254,0.36285972595214844
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,10,0.38728308751023827,0.41211917996406555
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,11,0.4804443450353565,0.5093651413917542
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,Sum,EucSum,12,0.5245881704574809,0.5435371994972229
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,0,0.48339775464712254,0.48369893431663513
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,1,0.4844254976044524,0.48356756567955017
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,2,0.44216376029745946,0.4433356523513794
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,3,0.4358252891131758,0.4369312524795532
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,4,0.4419931421535908,0.44434136152267456
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,5,0.4378802664359368,0.4407442808151245
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,6,0.4363297335915517,0.44012412428855896
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,7,0.439643122877219,0.44272878766059875
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,8,0.4614458900040368,0.4605855345726013
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,9,0.46934642484446343,0.4652746319770813
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,10,0.5366866733460262,0.5330785512924194
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,11,0.6734058771921749,0.6704175472259521
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_ind,EucF_ind,12,0.7283641341497408,0.7280130386352539
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,0,0.5061360904214522,0.50341796875
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,1,0.5273693459378664,0.524090051651001
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,2,0.4714922612002807,0.4677613079547882
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,3,0.46805888887193214,0.4630064368247986
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,4,0.48418041851254817,0.4755983054637909
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,5,0.4872013930135142,0.47809112071990967
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,6,0.5079978098340365,0.4974140524864197
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,7,0.5228706295145851,0.5112584829330444
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,8,0.5479233433653661,0.5369689464569092
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,9,0.543048227955535,0.5316346883773804
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,10,0.5869748919253958,0.5834990739822388
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,11,0.662997426550627,0.6601506471633911
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_joint,EucF_joint,12,0.8572145830178,0.8585551381111145
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,0,0.4875298438688797,0.4864186942577362
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,1,0.4917588981731379,0.49070674180984497
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,2,0.4411610073447277,0.44227662682533264
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,3,0.4300046119506179,0.43157291412353516
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,4,0.4293587317591369,0.4324248433113098
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,5,0.42330096736510175,0.4269044101238251
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,6,0.4238457313573572,0.42853572964668274
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,7,0.43248589589738445,0.4359322190284729
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,8,0.45926757093786214,0.4585283100605011
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,9,0.4608462608252545,0.4575441777706146
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,10,0.5198986148460063,0.5176430940628052
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,11,0.6301905130214549,0.6297482848167419
sentence-transformers-all-mpnet-base-v2,Transformer,Euc,F_inf,EucF_inf,12,0.7401221956766728,0.7407304644584656
sentence-transformers-all-mpnet-base-v2,Transformer,Icm,Cls,IcmCls,0,0.19154155702371697,0.142048180103302
